vehicle_no,date,arrival_time,exit_time
MHSM2916,2024-09-12,2024-09-12 06:20:00,2024-09-12 11:00:00
MHGD1595,2024-09-12,2024-09-12 06:20:00,2024-09-12 11:00:00
MHWD9972,2024-09-12,2024-09-12 06:20:00,2024-09-12 11:00:00
MHFL0999,2024-09-12,2024-09-12 06:20:00,2024-09-12 10:20:00
MHUY5910,2024-09-12,2024-09-12 06:20:00,2024-09-12 11:00:00
MHEL8689,2024-09-12,2024-09-12 06:20:00,2024-09-12 11:40:00
MHFJ3134,2024-09-12,2024-09-12 06:20:00,2024-09-12 10:40:00
MHNN3859,2024-09-12,2024-09-12 06:20:00,2024-09-12 11:40:00
MHFB7793,2024-09-12,2024-09-12 06:20:00,2024-09-12 10:00:00
MHXR6927,2024-09-12,2024-09-12 06:20:00,2024-09-12 11:00:00
MHBC9992,2024-09-12,2024-09-12 06:20:00,2024-09-12 11:40:00
MHLC7841,2024-09-12,2024-09-12 06:20:00,2024-09-12 11:40:00
MHSM3502,2024-09-12,2024-09-12 06:40:00,2024-09-12 10:40:00
MHKY5934,2024-09-12,2024-09-12 06:40:00,2024-09-12 10:40:00
MHZI2479,2024-09-12,2024-09-12 06:40:00,2024-09-12 12:00:00
MHWU6758,2024-09-12,2024-09-12 06:40:00,2024-09-12 11:00:00
MHHX0605,2024-09-12,2024-09-12 06:40:00,2024-09-12 10:40:00
MHWC0720,2024-09-12,2024-09-12 06:40:00,2024-09-12 10:00:00
MHRU1776,2024-09-12,2024-09-12 06:40:00,2024-09-12 12:00:00
MHVW9654,2024-09-12,2024-09-12 06:40:00,2024-09-12 12:20:00
MHJN5130,2024-09-12,2024-09-12 06:40:00,2024-09-12 10:20:00
MHSX5443,2024-09-12,2024-09-12 06:40:00,2024-09-12 10:40:00
MHQS2979,2024-09-12,2024-09-12 06:40:00,2024-09-12 11:00:00
MHWK2542,2024-09-12,2024-09-12 06:40:00,2024-09-12 11:20:00
MHCH4054,2024-09-12,2024-09-12 06:40:00,2024-09-12 11:40:00
MHEE8734,2024-09-12,2024-09-12 06:40:00,2024-09-12 09:40:00
MHGW6086,2024-09-12,2024-09-12 06:40:00,2024-09-12 10:20:00
MHKU8781,2024-09-12,2024-09-12 06:40:00,2024-09-12 09:40:00
MHWE1029,2024-09-12,2024-09-12 06:40:00,2024-09-12 09:40:00
MHKM3373,2024-09-12,2024-09-12 07:00:00,2024-09-12 11:20:00
MHML5248,2024-09-12,2024-09-12 07:00:00,2024-09-12 12:00:00
MHXQ1475,2024-09-12,2024-09-12 07:00:00,2024-09-12 12:00:00
MHKC7922,2024-09-12,2024-09-12 07:00:00,2024-09-12 11:40:00
MHEQ8938,2024-09-12,2024-09-12 07:00:00,2024-09-12 12:00:00
MHGN6262,2024-09-12,2024-09-12 07:00:00,2024-09-12 12:20:00
MHUF8609,2024-09-12,2024-09-12 07:00:00,2024-09-12 10:20:00
MHLG6211,2024-09-12,2024-09-12 07:00:00,2024-09-12 12:40:00
MHXL1217,2024-09-12,2024-09-12 07:00:00,2024-09-12 10:20:00
MHLA7136,2024-09-12,2024-09-12 07:00:00,2024-09-12 12:20:00
MHRJ9496,2024-09-12,2024-09-12 07:00:00,2024-09-12 12:40:00
MHYM8747,2024-09-12,2024-09-12 07:00:00,2024-09-12 11:20:00
MHAB7611,2024-09-12,2024-09-12 07:00:00,2024-09-12 11:40:00
MHEM3359,2024-09-12,2024-09-12 07:00:00,2024-09-12 11:00:00
MHSM4102,2024-09-12,2024-09-12 07:00:00,2024-09-12 10:40:00
MHBK6246,2024-09-12,2024-09-12 07:00:00,2024-09-12 12:00:00
MHYH3112,2024-09-12,2024-09-12 07:00:00,2024-09-12 12:20:00
MHGD2741,2024-09-12,2024-09-12 07:00:00,2024-09-12 11:40:00
MHZQ8024,2024-09-12,2024-09-12 07:00:00,2024-09-12 11:20:00
MHFH1036,2024-09-12,2024-09-12 07:00:00,2024-09-12 10:20:00
MHUS7027,2024-09-12,2024-09-12 07:00:00,2024-09-12 12:20:00
MHRR2109,2024-09-12,2024-09-12 07:00:00,2024-09-12 11:20:00
MHOG6928,2024-09-12,2024-09-12 07:00:00,2024-09-12 12:20:00
MHHT0994,2024-09-12,2024-09-12 07:00:00,2024-09-12 11:20:00
MHOU0717,2024-09-12,2024-09-12 07:20:00,2024-09-12 12:00:00
MHPP6633,2024-09-12,2024-09-12 07:20:00,2024-09-12 11:00:00
MHGP1551,2024-09-12,2024-09-12 07:20:00,2024-09-12 12:20:00
MHNS7193,2024-09-12,2024-09-12 07:20:00,2024-09-12 10:20:00
MHZQ4466,2024-09-12,2024-09-12 07:20:00,2024-09-12 10:40:00
MHOG9016,2024-09-12,2024-09-12 07:20:00,2024-09-12 11:00:00
MHOA9639,2024-09-12,2024-09-12 07:20:00,2024-09-12 11:00:00
MHGU8316,2024-09-12,2024-09-12 07:20:00,2024-09-12 10:20:00
MHOM1097,2024-09-12,2024-09-12 07:20:00,2024-09-12 11:20:00
MHKU2055,2024-09-12,2024-09-12 07:20:00,2024-09-12 10:20:00
MHOP2483,2024-09-12,2024-09-12 07:20:00,2024-09-12 12:40:00
MHYW9005,2024-09-12,2024-09-12 07:20:00,2024-09-12 12:40:00
MHIU4415,2024-09-12,2024-09-12 07:20:00,2024-09-12 12:20:00
MHDK2600,2024-09-12,2024-09-12 07:20:00,2024-09-12 11:00:00
MHMZ7718,2024-09-12,2024-09-12 07:20:00,2024-09-12 11:40:00
MHXB5183,2024-09-12,2024-09-12 07:20:00,2024-09-12 12:00:00
MHNW6691,2024-09-12,2024-09-12 07:20:00,2024-09-12 11:00:00
MHYD3447,2024-09-12,2024-09-12 07:20:00,2024-09-12 12:20:00
MHNF8418,2024-09-12,2024-09-12 07:20:00,2024-09-12 12:20:00
MHJM5123,2024-09-12,2024-09-12 07:20:00,2024-09-12 10:40:00
MHUZ0801,2024-09-12,2024-09-12 07:20:00,2024-09-12 10:20:00
MHLI4038,2024-09-12,2024-09-12 07:40:00,2024-09-12 11:20:00
MHNP6414,2024-09-12,2024-09-12 07:40:00,2024-09-12 12:00:00
MHEH4566,2024-09-12,2024-09-12 07:40:00,2024-09-12 12:40:00
MHCY9841,2024-09-12,2024-09-12 07:40:00,2024-09-12 12:20:00
MHIX2609,2024-09-12,2024-09-12 07:40:00,2024-09-12 11:40:00
MHDZ8814,2024-09-12,2024-09-12 07:40:00,2024-09-12 11:40:00
MHXK1151,2024-09-12,2024-09-12 07:40:00,2024-09-12 12:40:00
MHTN8071,2024-09-12,2024-09-12 07:40:00,2024-09-12 13:20:00
MHDB8557,2024-09-12,2024-09-12 07:40:00,2024-09-12 11:40:00
MHSN1434,2024-09-12,2024-09-12 07:40:00,2024-09-12 13:20:00
MHYV7355,2024-09-12,2024-09-12 07:40:00,2024-09-12 11:40:00
MHSW2530,2024-09-12,2024-09-12 07:40:00,2024-09-12 12:20:00
MHKS0804,2024-09-12,2024-09-12 07:40:00,2024-09-12 13:00:00
MHDO7283,2024-09-12,2024-09-12 07:40:00,2024-09-12 10:40:00
MHPW0685,2024-09-12,2024-09-12 07:40:00,2024-09-12 13:00:00
MHRL0171,2024-09-12,2024-09-12 07:40:00,2024-09-12 12:20:00
MHBQ2663,2024-09-12,2024-09-12 07:40:00,2024-09-12 12:40:00
MHOB1836,2024-09-12,2024-09-12 07:40:00,2024-09-12 11:20:00
MHCC3383,2024-09-12,2024-09-12 07:40:00,2024-09-12 13:20:00
MHAJ2918,2024-09-12,2024-09-12 08:00:00,2024-09-12 12:40:00
MHII3846,2024-09-12,2024-09-12 08:00:00,2024-09-12 13:00:00
MHLC6612,2024-09-12,2024-09-12 08:00:00,2024-09-12 13:20:00
MHVL2086,2024-09-12,2024-09-12 08:00:00,2024-09-12 13:00:00
MHQU3766,2024-09-12,2024-09-12 08:00:00,2024-09-12 11:00:00
MHBD4560,2024-09-12,2024-09-12 08:00:00,2024-09-12 12:40:00
MHPM8655,2024-09-12,2024-09-12 08:00:00,2024-09-12 12:00:00
MHEA3859,2024-09-12,2024-09-12 08:00:00,2024-09-12 13:00:00
MHST5010,2024-09-12,2024-09-12 08:00:00,2024-09-12 12:20:00
MHQZ4559,2024-09-12,2024-09-12 08:00:00,2024-09-12 13:20:00
MHBC2251,2024-09-12,2024-09-12 08:00:00,2024-09-12 12:00:00
MHJO9014,2024-09-12,2024-09-12 08:00:00,2024-09-12 13:00:00
MHTZ6862,2024-09-12,2024-09-12 08:00:00,2024-09-12 11:00:00
MHBQ1294,2024-09-12,2024-09-12 08:00:00,2024-09-12 12:00:00
MHMA5579,2024-09-12,2024-09-12 08:00:00,2024-09-12 11:00:00
MHVY6905,2024-09-12,2024-09-12 08:00:00,2024-09-12 11:40:00
MHLN7673,2024-09-12,2024-09-12 08:00:00,2024-09-12 11:00:00
MHHG0653,2024-09-12,2024-09-12 08:00:00,2024-09-12 13:20:00
MHUL2615,2024-09-12,2024-09-12 08:00:00,2024-09-12 11:20:00
MHBC4944,2024-09-12,2024-09-12 08:00:00,2024-09-12 12:40:00
MHLF3244,2024-09-12,2024-09-12 08:00:00,2024-09-12 11:40:00
MHUM5208,2024-09-12,2024-09-12 08:00:00,2024-09-12 11:40:00
MHBX4008,2024-09-12,2024-09-12 08:20:00,2024-09-12 11:20:00
MHUG0333,2024-09-12,2024-09-12 08:20:00,2024-09-12 13:40:00
MHRN4189,2024-09-12,2024-09-12 08:20:00,2024-09-12 12:20:00
MHFE5847,2024-09-12,2024-09-12 08:20:00,2024-09-12 11:20:00
MHLB7321,2024-09-12,2024-09-12 08:20:00,2024-09-12 11:20:00
MHZG8694,2024-09-12,2024-09-12 08:20:00,2024-09-12 11:20:00
MHFR9153,2024-09-12,2024-09-12 08:20:00,2024-09-12 12:00:00
MHOK2067,2024-09-12,2024-09-12 08:20:00,2024-09-12 11:40:00
MHFZ0931,2024-09-12,2024-09-12 08:20:00,2024-09-12 13:40:00
MHKD2367,2024-09-12,2024-09-12 08:20:00,2024-09-12 12:00:00
MHVD0444,2024-09-12,2024-09-12 08:20:00,2024-09-12 13:20:00
MHIO1153,2024-09-12,2024-09-12 08:20:00,2024-09-12 12:20:00
MHLC2700,2024-09-12,2024-09-12 08:20:00,2024-09-12 12:20:00
MHIG3903,2024-09-12,2024-09-12 08:20:00,2024-09-12 12:00:00
MHNC6339,2024-09-12,2024-09-12 08:20:00,2024-09-12 11:40:00
MHBJ0918,2024-09-12,2024-09-12 08:20:00,2024-09-12 13:20:00
MHBL0106,2024-09-12,2024-09-12 08:20:00,2024-09-12 11:20:00
MHBK0258,2024-09-12,2024-09-12 08:20:00,2024-09-12 13:40:00
MHCZ6326,2024-09-12,2024-09-12 08:20:00,2024-09-12 13:00:00
MHRC4877,2024-09-12,2024-09-12 08:20:00,2024-09-12 12:40:00
MHXH4692,2024-09-12,2024-09-12 08:40:00,2024-09-12 11:40:00
MHQJ7865,2024-09-12,2024-09-12 08:40:00,2024-09-12 13:00:00
MHOS1122,2024-09-12,2024-09-12 08:40:00,2024-09-12 12:20:00
MHCA8550,2024-09-12,2024-09-12 08:40:00,2024-09-12 13:00:00
MHPM9917,2024-09-12,2024-09-12 08:40:00,2024-09-12 12:40:00
MHPQ3242,2024-09-12,2024-09-12 08:40:00,2024-09-12 13:40:00
MHTT8234,2024-09-12,2024-09-12 08:40:00,2024-09-12 13:00:00
MHVQ1240,2024-09-12,2024-09-12 08:40:00,2024-09-12 14:20:00
MHRA0518,2024-09-12,,2024-09-12 08:40:00
MHOT7014,2024-09-12,2024-09-12 08:40:00,2024-09-12 12:00:00
MHHU8201,2024-09-12,2024-09-12 08:40:00,2024-09-12 13:40:00
MHQZ6108,2024-09-12,2024-09-12 08:40:00,2024-09-12 12:20:00
MHDR2805,2024-09-12,2024-09-12 08:40:00,2024-09-12 13:00:00
MHHV3185,2024-09-12,2024-09-12 08:40:00,2024-09-12 13:00:00
MHXC8280,2024-09-12,2024-09-12 08:40:00,2024-09-12 13:40:00
MHVW0788,2024-09-12,2024-09-12 08:40:00,2024-09-12 12:00:00
MHSH6370,2024-09-12,2024-09-12 08:40:00,2024-09-12 12:00:00
MHDT1939,2024-09-12,2024-09-12 08:40:00,2024-09-12 14:00:00
MHPP7346,2024-09-12,2024-09-12 08:40:00,2024-09-12 13:40:00
MHHE6094,2024-09-12,2024-09-12 08:40:00,2024-09-12 12:00:00
MHKQ2650,2024-09-12,2024-09-12 09:00:00,2024-09-12 14:00:00
MHJZ9310,2024-09-12,2024-09-12 09:00:00,2024-09-12 14:00:00
MHMW1395,2024-09-12,2024-09-12 09:00:00,2024-09-12 14:00:00
MHLL9544,2024-09-12,2024-09-12 09:00:00,2024-09-12 12:20:00
MHNO4969,2024-09-12,2024-09-12 09:00:00,2024-09-12 13:40:00
MHCB8957,2024-09-12,2024-09-12 09:00:00,2024-09-12 13:20:00
MHPC1393,2024-09-12,2024-09-12 09:00:00,2024-09-12 13:00:00
MHZL0016,2024-09-12,2024-09-12 09:00:00,2024-09-12 14:00:00
MHQP9332,2024-09-12,2024-09-12 09:00:00,2024-09-12 14:40:00
MHMH8040,2024-09-12,2024-09-12 09:00:00,2024-09-12 14:00:00
MHKA0669,2024-09-12,2024-09-12 09:00:00,2024-09-12 12:00:00
MHZN0575,2024-09-12,2024-09-12 09:00:00,2024-09-12 14:20:00
MHPE0359,2024-09-12,2024-09-12 09:00:00,2024-09-12 13:00:00
MHJK3711,2024-09-12,2024-09-12 09:00:00,2024-09-12 13:40:00
MHLS7373,2024-09-12,2024-09-12 09:00:00,2024-09-12 13:20:00
MHBN6463,2024-09-12,2024-09-12 09:00:00,2024-09-12 13:40:00
MHUX5927,2024-09-12,2024-09-12 09:00:00,2024-09-12 14:20:00
MHAW4005,2024-09-12,2024-09-12 09:00:00,2024-09-12 14:20:00
MHLO3942,2024-09-12,2024-09-12 09:00:00,2024-09-12 12:00:00
MHPK8268,2024-09-12,2024-09-12 09:00:00,
MHYW8066,2024-09-12,2024-09-12 09:00:00,2024-09-12 13:20:00
MHPT1798,2024-09-12,2024-09-12 09:20:00,2024-09-12 13:00:00
MHDO7213,2024-09-12,2024-09-12 09:20:00,2024-09-12 14:20:00
MHTO0838,2024-09-12,2024-09-12 09:20:00,2024-09-12 13:20:00
MHHD1877,2024-09-12,2024-09-12 09:20:00,2024-09-12 14:20:00
MHJW4798,2024-09-12,2024-09-12 09:20:00,2024-09-12 14:20:00
MHEZ0605,2024-09-12,2024-09-12 09:20:00,2024-09-12 13:00:00
MHNK0247,2024-09-12,2024-09-12 09:20:00,2024-09-12 13:00:00
MHAV2998,2024-09-12,2024-09-12 09:20:00,2024-09-12 12:20:00
MHJF5189,2024-09-12,2024-09-12 09:20:00,2024-09-12 14:00:00
MHNL8967,2024-09-12,2024-09-12 09:20:00,2024-09-12 14:20:00
MHNE1197,2024-09-12,2024-09-12 09:20:00,2024-09-12 12:20:00
MHIH9124,2024-09-12,2024-09-12 09:20:00,2024-09-12 13:40:00
MHGD5758,2024-09-12,2024-09-12 09:20:00,2024-09-12 14:00:00
MHEI2265,2024-09-12,2024-09-12 09:20:00,2024-09-12 13:20:00
MHVF9768,2024-09-12,2024-09-12 09:20:00,2024-09-12 12:40:00
MHTI2865,2024-09-12,2024-09-12 09:20:00,2024-09-12 12:20:00
MHOR3672,2024-09-12,2024-09-12 09:20:00,2024-09-12 13:00:00
MHIU2746,2024-09-12,2024-09-12 09:20:00,2024-09-12 12:40:00
MHXO4178,2024-09-12,2024-09-12 09:20:00,2024-09-12 14:20:00
MHUS4857,2024-09-12,2024-09-12 09:20:00,2024-09-12 13:40:00
MHKG5382,2024-09-12,2024-09-12 09:20:00,2024-09-12 14:40:00
MHHG4948,2024-09-12,2024-09-12 09:20:00,2024-09-12 13:00:00
MHQR0837,2024-09-12,2024-09-12 09:40:00,2024-09-12 14:20:00
MHFC2160,2024-09-12,2024-09-12 09:40:00,2024-09-12 14:00:00
MHUH5392,2024-09-12,2024-09-12 09:40:00,2024-09-12 13:00:00
MHOQ5481,2024-09-12,2024-09-12 09:40:00,2024-09-12 12:40:00
MHHX2287,2024-09-12,2024-09-12 09:40:00,2024-09-12 13:20:00
MHDT3125,2024-09-12,2024-09-12 09:40:00,2024-09-12 14:20:00
MHTN8962,2024-09-12,2024-09-12 09:40:00,2024-09-12 12:40:00
MHFG2987,2024-09-12,2024-09-12 09:40:00,2024-09-12 13:00:00
MHTQ3388,2024-09-12,2024-09-12 09:40:00,2024-09-12 14:20:00
MHOJ6815,2024-09-12,2024-09-12 09:40:00,2024-09-12 14:00:00
MHLF7756,2024-09-12,2024-09-12 09:40:00,2024-09-12 14:20:00
MHFZ2107,2024-09-12,2024-09-12 09:40:00,2024-09-12 12:40:00
MHHG2690,2024-09-12,2024-09-12 09:40:00,2024-09-12 13:00:00
MHZD0848,2024-09-12,2024-09-12 09:40:00,2024-09-12 13:00:00
MHLG0430,2024-09-12,2024-09-12 09:40:00,2024-09-12 14:00:00
MHGT3566,2024-09-12,2024-09-12 09:40:00,2024-09-12 13:40:00
MHLT6481,2024-09-12,2024-09-12 09:40:00,2024-09-12 12:40:00
MHQX4064,2024-09-12,2024-09-12 09:40:00,2024-09-12 13:20:00
MHHU8301,2024-09-12,2024-09-12 10:00:00,2024-09-12 13:00:00
MHLG7913,2024-09-12,2024-09-12 10:00:00,2024-09-12 14:00:00
MHEF7058,2024-09-12,2024-09-12 10:00:00,2024-09-12 15:20:00
MHKE0727,2024-09-12,2024-09-12 10:00:00,2024-09-12 15:00:00
MHDU2778,2024-09-12,2024-09-12 10:00:00,2024-09-12 15:00:00
MHIP5670,2024-09-12,2024-09-12 10:00:00,2024-09-12 14:40:00
MHGF1566,2024-09-12,2024-09-12 10:00:00,2024-09-12 14:40:00
MHCK1037,2024-09-12,2024-09-12 10:00:00,2024-09-12 14:20:00
MHIT6187,2024-09-12,2024-09-12 10:00:00,2024-09-12 13:20:00
MHSF7862,2024-09-12,2024-09-12 10:00:00,2024-09-12 14:40:00
MHPF2877,2024-09-12,2024-09-12 10:00:00,2024-09-12 13:40:00
MHVI7365,2024-09-12,2024-09-12 10:00:00,2024-09-12 13:40:00
MHEH8513,2024-09-12,2024-09-12 10:00:00,2024-09-12 14:00:00
MHTA5285,2024-09-12,2024-09-12 10:00:00,2024-09-12 13:40:00
MHPY5550,2024-09-12,2024-09-12 10:20:00,2024-09-12 15:00:00
MHER2660,2024-09-12,2024-09-12 10:20:00,2024-09-12 13:20:00
MHFL3496,2024-09-12,2024-09-12 10:20:00,2024-09-12 14:20:00
MHVI9442,2024-09-12,2024-09-12 10:20:00,2024-09-12 14:20:00
MHGV3628,2024-09-12,2024-09-12 10:20:00,2024-09-12 14:20:00
MHMN5431,2024-09-12,2024-09-12 10:20:00,2024-09-12 14:20:00
MHQC3450,2024-09-12,2024-09-12 10:20:00,2024-09-12 13:40:00
MHBX1449,2024-09-12,2024-09-12 10:20:00,2024-09-12 14:00:00
MHYD0490,2024-09-12,2024-09-12 10:20:00,2024-09-12 14:20:00
MHRC1652,2024-09-12,2024-09-12 10:20:00,2024-09-12 13:40:00
MHQF3007,2024-09-12,2024-09-12 10:20:00,2024-09-12 13:20:00
MHNE1552,2024-09-12,2024-09-12 10:20:00,2024-09-12 15:40:00
MHXQ8717,2024-09-12,2024-09-12 10:20:00,2024-09-12 15:20:00
MHNZ7837,2024-09-12,2024-09-12 10:20:00,2024-09-12 14:20:00
MHZD6689,2024-09-12,2024-09-12 10:20:00,2024-09-12 13:40:00
MHJW0846,2024-09-12,2024-09-12 10:20:00,2024-09-12 15:20:00
MHHF9102,2024-09-12,2024-09-12 10:20:00,2024-09-12 13:20:00
MHYO7134,2024-09-12,2024-09-12 10:20:00,2024-09-12 14:20:00
MHZM4642,2024-09-12,2024-09-12 10:20:00,2024-09-12 14:20:00
MHFZ1000,2024-09-12,2024-09-12 10:20:00,2024-09-12 14:20:00
MHEN2834,2024-09-12,2024-09-12 10:20:00,2024-09-12 15:20:00
MHYO9908,2024-09-12,2024-09-12 10:20:00,2024-09-12 15:20:00
MHAV9568,2024-09-12,2024-09-12 10:20:00,2024-09-12 14:00:00
MHZN7535,2024-09-12,2024-09-12 10:20:00,2024-09-12 14:20:00
MHSR0306,2024-09-12,2024-09-12 10:20:00,2024-09-12 15:40:00
MHBQ6650,2024-09-12,2024-09-12 10:20:00,2024-09-12 15:20:00
MHFT733P,2024-09-12,,2024-09-12 10:40:00
MHJO1490,2024-09-12,2024-09-12 10:40:00,2024-09-12 15:20:00
MHVB0732,2024-09-12,2024-09-12 10:40:00,2024-09-12 16:20:00
MHFE4038,2024-09-12,2024-09-12 10:40:00,2024-09-12 14:20:00
MHFU1956,2024-09-12,2024-09-12 10:40:00,2024-09-12 14:00:00
MHSK4803,2024-09-12,2024-09-12 10:40:00,2024-09-12 15:40:00
